Annee;Parc nucleaire (MW);Parc thermique fossile (MW);Parc fioul (MW);Parc charbon (MW);Parc gaz (MW);Parc hydraulique (MW);Parc solaire (MW);Parc eolien (MW);Parc bioenergie (MW)
2007;63260.0;24055.0;;;;25413.0;7.0;2252.0;953.0
2008;63260.0;24665.0;;;;25360.0;30.0;3327.0;986.3
2009;63130.0;26154.6;;;;25356.9;190.0;4573.0;1029.0
2010;63130.0;27399.0;10494.0;7942.0;8963.0;25392.0;878.0;5762.0;1223.9
2011;63130.0;27813.0;10332.0;7942.0;9539.0;25393.9;2584.0;6714.0;1237.0
2012;63130.0;27826.5;9385.7;7913.5;10527.3;25407.0;3727.0;7536.0;1345.9
2013;63130.0;25706.7;8948.0;6359.0;10400.0;25434.0;4366.0;8157.0;1496.1
2014;63130.0;23770.851;8786.27;4446.004;10524.177;25594.1770001;5301.1651;9303.2916;1599.904
2015;63130.0;23298.724;8403.71;3978.004;10917.01;25596.6320001;6207.924;10313.627;1705.308
2016;63130.0;21581.846;7030.427;2978.004;11573.415;25630.2020001;6788.445;11794.833;1869.795
2017;63130.0;18776.14905;4039.963;2997.004;11739.18205;25566.0015001;7644.826380001999;13508.8149;1904.942
2018;63130.0;18244.713;3309.069;2997.004;11938.64;25567.1185001;8562.064136536;15067.5319;2004.155
2019;63130.0;18179.474;3218.453;2978.004;11983.017;25717.4445001;9488.916112747;16458.6633;2068.114999999
